date,store,item,sales,sales (t-1),sales (t-2),sales (t-3)
01/01/2013,1,1,13,,,
01/02/2013,1,1,11,13,,
01/03/2013,1,1,14,11,13,
01/04/2013,1,1,13,14,11,13
01/05/2013,1,1,10,13,14,11
01/06/2013,1,1,12,10,13,14
01/07/2013,1,1,10,12,10,13
01/08/2013,1,1,9,10,12,10
01/09/2013,1,1,12,9,10,12
01/10/2013,1,1,9,12,9,10
01/11/2013,1,1,9,9,12,9
01/12/2013,1,1,7,9,9,12
01/13/2013,1,1,10,7,9,9
01/14/2013,1,1,12,10,7,9
01/15/2013,1,1,5,12,10,7
01/16/2013,1,1,7,5,12,10
01/17/2013,1,1,16,7,5,12
01/18/2013,1,1,7,16,7,5
01/19/2013,1,1,18,7,16,7
01/20/2013,1,1,15,18,7,16
01/21/2013,1,1,8,15,18,7
01/22/2013,1,1,7,8,15,18
01/23/2013,1,1,9,7,8,15
01/24/2013,1,1,8,9,7,8
01/25/2013,1,1,14,8,9,7
01/26/2013,1,1,12,14,8,9
01/27/2013,1,1,12,12,14,8
01/28/2013,1,1,11,12,12,14
01/29/2013,1,1,6,11,12,12
01/30/2013,1,1,9,6,11,12
01/31/2013,1,1,13,9,6,11
02/01/2013,1,1,11,13,9,6
02/02/2013,1,1,21,11,13,9
02/03/2013,1,1,15,21,11,13
02/04/2013,1,1,14,15,21,11
02/05/2013,1,1,9,14,15,21
02/06/2013,1,1,10,9,14,15
02/07/2013,1,1,13,10,9,14
02/08/2013,1,1,11,13,10,9
02/09/2013,1,1,14,11,13,10
02/10/2013,1,1,11,14,11,13
02/11/2013,1,1,16,11,14,11
02/12/2013,1,1,11,16,11,14
02/13/2013,1,1,14,11,16,11
02/14/2013,1,1,10,14,11,16
02/15/2013,1,1,11,10,14,11
02/16/2013,1,1,7,11,10,14
02/17/2013,1,1,11,7,11,10
02/18/2013,1,1,10,11,7,11
02/19/2013,1,1,10,10,11,7
02/20/2013,1,1,7,10,10,11
02/21/2013,1,1,13,7,10,10
02/22/2013,1,1,12,13,7,10
02/23/2013,1,1,15,12,13,7
02/24/2013,1,1,11,15,12,13
02/25/2013,1,1,7,11,15,12
02/26/2013,1,1,9,7,11,15
02/27/2013,1,1,9,9,7,11
02/28/2013,1,1,10,9,9,7
03/01/2013,1,1,15,10,9,9
03/02/2013,1,1,13,15,10,9
03/03/2013,1,1,20,13,15,10
03/04/2013,1,1,14,20,13,15
03/05/2013,1,1,13,14,20,13
03/06/2013,1,1,17,13,14,20
03/07/2013,1,1,11,17,13,14
03/08/2013,1,1,15,11,17,13
03/09/2013,1,1,16,15,11,17
03/10/2013,1,1,11,16,15,11
03/11/2013,1,1,18,11,16,15
03/12/2013,1,1,14,18,11,16
03/13/2013,1,1,13,14,18,11
03/14/2013,1,1,10,13,14,18
03/15/2013,1,1,14,10,13,14
03/16/2013,1,1,10,14,10,13
03/17/2013,1,1,22,10,14,10
03/18/2013,1,1,11,22,10,14
03/19/2013,1,1,19,11,22,10
03/20/2013,1,1,14,19,11,22
03/21/2013,1,1,17,14,19,11
03/22/2013,1,1,21,17,14,19
03/23/2013,1,1,21,21,17,14
03/24/2013,1,1,19,21,21,17
03/25/2013,1,1,13,19,21,21
03/26/2013,1,1,16,13,19,21
03/27/2013,1,1,11,16,13,19
03/28/2013,1,1,13,11,16,13
03/29/2013,1,1,17,13,11,16
03/30/2013,1,1,19,17,13,11
03/31/2013,1,1,20,19,17,13
04/01/2013,1,1,11,20,19,17
04/02/2013,1,1,19,11,20,19
04/03/2013,1,1,24,19,11,20
04/04/2013,1,1,18,24,19,11
04/05/2013,1,1,19,18,24,19
04/06/2013,1,1,23,19,18,24
04/07/2013,1,1,17,23,19,18
04/08/2013,1,1,19,17,23,19
04/09/2013,1,1,13,19,17,23
04/10/2013,1,1,19,13,19,17
04/11/2013,1,1,16,19,13,19
04/12/2013,1,1,18,16,19,13
04/13/2013,1,1,17,18,16,19
04/14/2013,1,1,26,17,18,16
04/15/2013,1,1,14,26,17,18
04/16/2013,1,1,9,14,26,17
04/17/2013,1,1,17,9,14,26
04/18/2013,1,1,21,17,9,14
04/19/2013,1,1,22,21,17,9
04/20/2013,1,1,22,22,21,17
04/21/2013,1,1,20,22,22,21
04/22/2013,1,1,13,20,22,22
04/23/2013,1,1,11,13,20,22
04/24/2013,1,1,13,11,13,20
04/25/2013,1,1,14,13,11,13
04/26/2013,1,1,20,14,13,11
04/27/2013,1,1,22,20,14,13
04/28/2013,1,1,19,22,20,14
04/29/2013,1,1,11,19,22,20
04/30/2013,1,1,15,11,19,22
05/01/2013,1,1,16,15,11,19
05/02/2013,1,1,23,16,15,11
05/03/2013,1,1,22,23,16,15
05/04/2013,1,1,20,22,23,16
05/05/2013,1,1,14,20,22,23
05/06/2013,1,1,14,14,20,22
05/07/2013,1,1,15,14,14,20
05/08/2013,1,1,14,15,14,14
05/09/2013,1,1,11,14,15,14
05/10/2013,1,1,16,11,14,15
05/11/2013,1,1,19,16,11,14
05/12/2013,1,1,13,19,16,11
05/13/2013,1,1,9,13,19,16
05/14/2013,1,1,13,9,13,19
05/15/2013,1,1,16,13,9,13
05/16/2013,1,1,15,16,13,9
05/17/2013,1,1,16,15,16,13
05/18/2013,1,1,20,16,15,16
05/19/2013,1,1,19,20,16,15
05/20/2013,1,1,14,19,20,16
05/21/2013,1,1,24,14,19,20
05/22/2013,1,1,23,24,14,19
05/23/2013,1,1,14,23,24,14
05/24/2013,1,1,24,14,23,24
05/25/2013,1,1,25,24,14,23
05/26/2013,1,1,27,25,24,14
05/27/2013,1,1,7,27,25,24
05/28/2013,1,1,12,7,27,25
05/29/2013,1,1,10,12,7,27
05/30/2013,1,1,19,10,12,7
05/31/2013,1,1,27,19,10,12
06/01/2013,1,1,26,27,19,10
06/02/2013,1,1,22,26,27,19
06/03/2013,1,1,12,22,26,27
06/04/2013,1,1,15,12,22,26
06/05/2013,1,1,24,15,12,22
06/06/2013,1,1,9,24,15,12
06/07/2013,1,1,21,9,24,15
06/08/2013,1,1,20,21,9,24
06/09/2013,1,1,38,20,21,9
06/10/2013,1,1,20,38,20,21
06/11/2013,1,1,18,20,38,20
06/12/2013,1,1,22,18,20,38
06/13/2013,1,1,21,22,18,20
06/14/2013,1,1,22,21,22,18
06/15/2013,1,1,26,22,21,22
06/16/2013,1,1,23,26,22,21
06/17/2013,1,1,13,23,26,22
06/18/2013,1,1,21,13,23,26
06/19/2013,1,1,18,21,13,23
06/20/2013,1,1,24,18,21,13
06/21/2013,1,1,19,24,18,21
